C,gamma,epsilon,validation_loss,mee
50.5,0.046,0.01,1.2830370176956496,1.181661655387791
95.5,0.073,0.01,1.2792728726994411,1.1818662188359872
77.5,0.082,0.01,1.281024853000703,1.181873818051915
68.5,0.087,0.01,1.2825716878681572,1.1819072505149832
46.0,0.046,0.01,1.2835964570877858,1.1822717431140806
100.0,0.042,0.01,1.286141766450488,1.1826751537253164
64.0,0.091,0.01,1.2864236663490998,1.1829579563776824
10.0,0.064,0.01,1.2855279009973557,1.183041686835994
95.5,0.042,0.01,1.286438750059482,1.1830655276650948
91.0,0.042,0.01,1.2867814324923974,1.1834673696682514
91.0,0.077,0.01,1.2837382315406622,1.1835256457615948
41.5,0.046,0.01,1.2856791780670704,1.1835930465582671
100.0,0.073,0.01,1.283149845630648,1.1837035536934384
23.5,0.051,0.01,1.2871087194188506,1.183720584012603
86.5,0.042,0.01,1.2869713129180818,1.1838401372482934
82.0,0.042,0.01,1.287461712916395,1.184572083632758
82.0,0.082,0.01,1.286619344747633,1.1846338015834097
73.0,0.087,0.01,1.2887136856621866,1.1848603099864228
59.5,0.096,0.01,1.2929846917166603,1.1848764378040184
37.0,0.046,0.01,1.2879698338622028,1.1848813117551495
55.0,0.1,0.01,1.295067209384409,1.1849675460340645
77.5,0.042,0.01,1.2877493175612367,1.185002670634481
73.0,0.042,0.01,1.2876192303687517,1.1852719369740488
68.5,0.042,0.01,1.287609023935861,1.1856961335560479
95.5,0.077,0.01,1.2885092835954388,1.185958107519964
64.0,0.042,0.01,1.2877177078746986,1.1860905905571915
32.5,0.046,0.01,1.290313063662294,1.1862648909680877
68.5,0.091,0.01,1.2938458183082793,1.1862938845113016
59.5,0.042,0.01,1.2885638114642501,1.186736183175216
55.0,0.042,0.01,1.2887631601775233,1.1869277007260757
86.5,0.082,0.01,1.291923902298075,1.1872531345069193
14.5,0.055,0.01,1.2914576667218929,1.1874604249451488
77.5,0.087,0.01,1.2952962207676884,1.18778797312904
50.5,0.042,0.01,1.2905561312077163,1.1879571670658504
59.5,0.1,0.01,1.303530621580813,1.187976578935763
19.0,0.051,0.01,1.2918142242951796,1.1879855468167622
