C,gamma,epsilon,validation_loss,mee
14.5,0.069,0.01,1.3319482978590385,1.2067088437721682
95.5,0.073,0.01,1.3326470409949553,1.2067741445934994
100.0,0.069,0.01,1.333271319450919,1.206910428988972
100.0,0.064,0.01,1.332118800613785,1.2072382131720565
77.5,0.051,0.01,1.3298643674628419,1.2073902055462105
59.5,0.096,0.01,1.3324778468473775,1.2075015208652449
10.0,0.073,0.01,1.331950393441614,1.2075256311563591
73.0,0.087,0.01,1.3326508697795507,1.2077579524046604
55.0,0.1,0.01,1.333211422776627,1.207794903852155
91.0,0.077,0.01,1.333866272557497,1.2078854826351861
46.0,0.055,0.01,1.334808402743943,1.2079325266283685
100.0,0.073,0.01,1.334505046020673,1.2079689332107542
28.0,0.06,0.01,1.3361736274932317,1.2081140039221838
82.0,0.082,0.01,1.3336529171329248,1.2082440047585377
73.0,0.051,0.01,1.3314645149828406,1.2083600229620346
68.5,0.091,0.01,1.3339133178908174,1.208734466811507
68.5,0.051,0.01,1.3333398229221713,1.2093558418926922
95.5,0.077,0.01,1.3360743410934148,1.2095744470126133
41.5,0.055,0.01,1.3386941814269175,1.209822173782396
19.0,0.064,0.01,1.3375877006084398,1.2098637851138556
86.5,0.082,0.01,1.3360994509764894,1.21007751655838
77.5,0.087,0.01,1.3360140916989613,1.2102016323579794
64.0,0.051,0.01,1.3355105585621374,1.2102286675395106
64.0,0.096,0.01,1.3366930735866946,1.2105003175962434
59.5,0.051,0.01,1.3377713450169237,1.211058192809099
59.5,0.1,0.01,1.3379264338422456,1.2111107841789055
100.0,0.077,0.01,1.338436575586183,1.2113583163637482
73.0,0.091,0.01,1.3376885692210707,1.2114060904984658
37.0,0.055,0.01,1.3429315208120045,1.21179588512544
91.0,0.082,0.01,1.3390805937028345,1.212166154327011
82.0,0.087,0.01,1.3393693991873257,1.2125756838747686
23.5,0.06,0.01,1.3432252013161203,1.212670610036451
10.0,0.069,0.01,1.340150317103214,1.2128066196345795
55.0,0.051,0.01,1.3420408465255842,1.2128380112859354
14.5,0.064,0.01,1.3434529237728945,1.213065062771236
68.5,0.096,0.01,1.3411976803875094,1.213658866461931
77.5,0.091,0.01,1.3419548487392146,1.2142606698540217
100.0,0.046,0.01,1.3388919509565083,1.2142693237315187
95.5,0.082,0.01,1.3423495188107306,1.2143291484975904
64.0,0.1,0.01,1.3428696329395555,1.2144271615827897
50.5,0.051,0.01,1.3466366713708429,1.2147136221445003
95.5,0.046,0.01,1.3397832274171293,1.2147326489095194
32.5,0.055,0.01,1.3492707416733767,1.21514225601416
86.5,0.087,0.01,1.3436631308222216,1.2152706418748846
91.0,0.046,0.01,1.3412252514517653,1.215450948988488
19.0,0.06,0.01,1.3488548205688797,1.2161175341900659
86.5,0.046,0.01,1.3429505000704345,1.2161220370733297
46.0,0.051,0.01,1.3510910412362158,1.216518285512062
100.0,0.082,0.01,1.3460405452171782,1.2165514843216947
73.0,0.096,0.01,1.3461244209976297,1.2167625412699246
82.0,0.046,0.01,1.3448619219481075,1.2169130893980982
82.0,0.091,0.01,1.3463940501388298,1.2171015528958227
68.5,0.1,0.01,1.3485738952787394,1.217740265392912
77.5,0.046,0.01,1.346876609979856,1.2177451933153678
91.0,0.087,0.01,1.347656677250268,1.2178501316878492
14.5,0.06,0.01,1.3521484016222176,1.2179968129943517
28.0,0.055,0.01,1.3547623009578529,1.2186276425093165
41.5,0.051,0.01,1.3558630945464056,1.2188371008162526
73.0,0.046,0.01,1.3502215449985364,1.2191132857259417
86.5,0.091,0.01,1.3508672734913798,1.219960187644013
77.5,0.096,0.01,1.3517794603456963,1.2200364682136517
10.0,0.064,0.01,1.3522806756980772,1.2203416287962676
95.5,0.087,0.01,1.3514843023200744,1.220494409149669
23.5,0.055,0.01,1.3577455374775047,1.220763053098468
73.0,0.1,0.01,1.3544551119139063,1.2212007789824564
68.5,0.046,0.01,1.3553415928772627,1.2212084569901578
19.0,0.055,0.01,1.3590747855835763,1.221540386328817
37.0,0.051,0.01,1.3609271164906975,1.221549036358031
64.0,0.046,0.01,1.359713191818134,1.222862256578405
100.0,0.087,0.01,1.3552122039209586,1.222949519727646
91.0,0.091,0.01,1.355621709144399,1.2229781153546826
32.5,0.051,0.01,1.36343243049322,1.2231377076338723
82.0,0.096,0.01,1.357085270205312,1.2232523431952786
59.5,0.046,0.01,1.3631799758253613,1.2244239607990508
28.0,0.051,0.01,1.3642381706578544,1.2244594350015776
77.5,0.1,0.01,1.3601622251241172,1.2245225039140648
100.0,0.042,0.01,1.3555421519146746,1.2245265423726828
95.5,0.042,0.01,1.3581826006740205,1.2255317365140965
23.5,0.051,0.01,1.365982556589673,1.2255679511971094
55.0,0.046,0.01,1.3663693001948682,1.2256636613676106
95.5,0.091,0.01,1.3601539666503282,1.2257023740662951
14.5,0.055,0.01,1.3635878688551164,1.2258257594036515
86.5,0.096,0.01,1.3621949186692244,1.2262245440607655
91.0,0.042,0.01,1.361320703603792,1.2267262000467005
10.0,0.06,0.01,1.361430097641355,1.2271144202181854
50.5,0.046,0.01,1.3704203272757884,1.2274021787092355
82.0,0.1,0.01,1.3655015748686714,1.2274444529675974
86.5,0.042,0.01,1.3647305222589268,1.228086157805152
100.0,0.091,0.01,1.3647387029909157,1.2282849985655386
19.0,0.051,0.01,1.369275687805026,1.2286005006275056
91.0,0.096,0.01,1.3669512472505518,1.2287466074100408
46.0,0.046,0.01,1.3731945275384063,1.2290322548487023
82.0,0.042,0.01,1.3681561325432992,1.2294795063461985
41.5,0.046,0.01,1.3737165287613078,1.2299656695730845
86.5,0.1,0.01,1.3712006800509258,1.2308025941544445
77.5,0.042,0.01,1.3713105926578715,1.2308689634766108
37.0,0.046,0.01,1.3738626952998325,1.2309211676728549
