C,gamma,epsilon,validation_loss,mee
10.0,0.051,0.01,1.4104919925534116,1.2567864071307857
37.0,0.042,0.01,1.4201317085393905,1.2568879113893279
59.5,0.042,0.01,1.4300609245496316,1.2571679895040755
41.5,0.042,0.01,1.4232672993414452,1.2573356220888454
68.5,0.1,0.01,1.451424999687067,1.2574080119060975
32.5,0.042,0.01,1.4191623366902362,1.2577571960706089
91.0,0.087,0.01,1.4492604913008935,1.257785362654557
19.0,0.046,0.01,1.4137720450575908,1.2578132893038183
55.0,0.042,0.01,1.4302957862705847,1.258011653524778
46.0,0.042,0.01,1.427982117695334,1.258405034747138
50.5,0.042,0.01,1.4304966459673447,1.2586062943104266
28.0,0.042,0.01,1.417824120848125,1.2589677892711435
14.5,0.046,0.01,1.4145068221001058,1.259833881983896
23.5,0.042,0.01,1.4171957890510132,1.2602364868724945
77.5,0.096,0.01,1.4558184579713394,1.2602430252243304
86.5,0.091,0.01,1.4552998876819152,1.2603777299642438
95.5,0.087,0.01,1.4554614810173008,1.2610327310899456
10.0,0.046,0.01,1.415090487981993,1.261170853666917
73.0,0.1,0.01,1.460001408650245,1.2619982953086955
19.0,0.042,0.01,1.4184523102652737,1.2626684577669562
100.0,0.037,0.01,1.4392848841939943,1.2627976905410634
14.5,0.042,0.01,1.4175635590769653,1.2629925486469684
95.5,0.037,0.01,1.43960142195327,1.26334376666411
91.0,0.037,0.01,1.4398258791416811,1.2637684870565153
91.0,0.091,0.01,1.4616071442098617,1.2638587222020017
86.5,0.037,0.01,1.4396655693776477,1.2639927169304936
100.0,0.087,0.01,1.4611836979813304,1.2641326743843084
46.0,0.037,0.01,1.4277877496906486,1.2642322518589002
82.0,0.096,0.01,1.463422995526519,1.2642602107015652
55.0,0.037,0.01,1.4309471552588453,1.264268088278729
82.0,0.037,0.01,1.4393389779602008,1.264364303107383
50.5,0.037,0.01,1.4293724000389332,1.2644023702107292
41.5,0.037,0.01,1.4267606460106412,1.264699923709217
77.5,0.037,0.01,1.4394251730990897,1.2649097461003975
37.0,0.037,0.01,1.4260910990462725,1.26513124287083
59.5,0.037,0.01,1.4343322252416002,1.265219349336425
64.0,0.037,0.01,1.4364092706078664,1.2654748089784793
73.0,0.037,0.01,1.4397696702294407,1.2655730962215197
68.5,0.037,0.01,1.4382214111940612,1.2655948493087779
32.5,0.037,0.01,1.4260233054719675,1.2658346464140835
77.5,0.1,0.01,1.4684293318217647,1.2665668407051898
28.0,0.037,0.01,1.4255776008177563,1.266809272859446
23.5,0.037,0.01,1.425663385234678,1.2673713685679409
95.5,0.091,0.01,1.468352960513685,1.267445887731188
86.5,0.096,0.01,1.4713448798490205,1.2684497297256931
10.0,0.042,0.01,1.426323175232929,1.2688756179034262
19.0,0.037,0.01,1.427858711996299,1.2694519562232682
100.0,0.091,0.01,1.475107802388475,1.270946165906146
82.0,0.1,0.01,1.4772025640929787,1.2710418125439036
64.0,0.033,0.01,1.4364671406431815,1.271193548412561
59.5,0.033,0.01,1.4356016803116878,1.2712121637113327
55.0,0.033,0.01,1.435700731421783,1.2715164049457033
68.5,0.033,0.01,1.4379300395316026,1.2717208805719407
50.5,0.033,0.01,1.4359160063306378,1.2717535838054004
46.0,0.033,0.01,1.4353338127056416,1.2717849725037955
73.0,0.033,0.01,1.4400405441196198,1.2721216461638398
91.0,0.096,0.01,1.4791580656756147,1.2723988668448543
100.0,0.033,0.01,1.448977322523287,1.2724407544965197
77.5,0.033,0.01,1.4420792734806047,1.2726302900013708
41.5,0.033,0.01,1.4355027170844779,1.2726681610194948
82.0,0.033,0.01,1.4434281677811105,1.2726837611947646
95.5,0.033,0.01,1.4476832426494552,1.2727000371055741
91.0,0.033,0.01,1.4461304548495344,1.2727339984328314
86.5,0.033,0.01,1.445012752097941,1.2729056156577216
32.5,0.033,0.01,1.4347075285303463,1.2729925649547713
37.0,0.033,0.01,1.4353008382838697,1.2731211735984882
