n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
50,3,3,2,True,1,0.0,2.453019973594517,1.8022920249838723
50,3,3,2,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,3,2,True,1,0.0,2.492189727248722,1.8069646925223994
100,3,3,2,True,2,0.0,2.499979737027358,1.8142573664043338
1000,3,3,2,True,1,0.0,2.4607228926407494,1.7956298433307192
1000,3,3,2,True,2,0.0,2.4237317603440522,1.7837503065847102
10,3,4,2,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,4,2,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,4,2,True,1,0.0,2.453019973594517,1.8022920249838723
50,3,4,2,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,4,2,True,1,0.0,2.492189727248722,1.8069646925223994
100,3,4,2,True,2,0.0,2.499979737027358,1.8142573664043338
1000,3,4,2,True,1,0.0,2.4607228926407494,1.7956298433307192
1000,3,4,2,True,2,0.0,2.4237317603440522,1.7837503065847102
10,3,2,3,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,2,3,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,2,3,True,1,0.0,2.4523483980292937,1.8014533413129978
50,3,2,3,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,2,3,True,1,0.0,2.4902381581569966,1.805369637546475
100,3,2,3,True,2,0.0,2.496546312889485,1.8129548226509185
1000,3,2,3,True,1,0.0,2.46053564830275,1.795370354390267
1000,3,2,3,True,2,0.0,2.422848413410961,1.7833730375449768
10,3,3,3,True,1,0.0,2.5387759330635906,1.8244516219182254
10,3,3,3,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,3,3,True,1,0.0,2.4523483980292937,1.8014533413129978
50,3,3,3,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,3,3,True,1,0.0,2.4902381581569966,1.805369637546475
100,3,3,3,True,2,0.0,2.496546312889485,1.8129548226509185
1000,3,3,3,True,1,0.0,2.46053564830275,1.795370354390267
1000,3,3,3,True,2,0.0,2.422848413410961,1.7833730375449768
10,3,4,3,True,1,0.0,2.5387759330635906,1.8244516219182254
