n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
100,6,2,10,False,1.3192733699321768,1.2147306283104418
100,6,4,10,False,1.31032270107971,1.214815929770741
500,9,2,3,False,1.3110021991610727,1.2181149738389594
1000,9,2,3,False,1.3094000140913686,1.2185724300266312
1000,9,3,3,False,1.3066030430951714,1.2189205323389207
50,6,2,10,False,1.3252704735972836,1.2191996935551421
10,7,4,10,False,1.3701489230635804,1.2239804744138547
500,9,3,3,False,1.3192207635404056,1.2243958748942565
100,9,4,3,False,1.3322998475552117,1.2248685769846477
100,9,2,3,False,1.3446257874097227,1.2264998665795326
1000,9,4,3,False,1.3321263610225316,1.226517218377411
100,9,3,3,False,1.325994398222961,1.2273379051610327
500,9,4,3,False,1.33394047276478,1.2282264718127176
500,9,5,3,False,1.3310696630372505,1.2317852019585676
1000,9,5,3,False,1.336493873413722,1.2319781979606848
50,6,5,10,False,1.3565343988999132,1.2339060002609046
50,9,4,3,False,1.3444753444871742,1.2348364009915662
50,9,3,3,False,1.3678138241819495,1.237439009371087
10,7,3,10,False,1.4015850894424782,1.237607123789508
100,9,5,3,False,1.3350048163395491,1.2404074154182594
50,9,5,3,False,1.3748407667097926,1.2440873461850737
10,10,2,3,False,1.4397284270266617,1.2453065016481326
50,9,2,3,False,1.3969005852674616,1.2573723494729323
10,6,4,10,False,1.4366855255531523,1.2628101464745618
10,6,2,10,False,1.4917408369286669,1.279740388829066
1000,8,2,3,False,1.4265871182045118,1.2840942853359003
10,10,4,3,False,1.4776232572470391,1.284254480132028
100,8,4,3,False,1.432881309579756,1.28569574907636
500,8,2,3,False,1.4219841061264868,1.2857148903517708
10,9,3,3,False,1.4526331225470506,1.2863188165136616
500,8,3,3,False,1.4384719316916017,1.2875016314737666
1000,8,4,3,False,1.4298140847143386,1.2890413505580214
1000,8,3,3,False,1.4372232885979903,1.2902535658767686
10,9,2,3,False,1.467515772334712,1.2913446757249751
10,6,5,10,False,1.4647658822758505,1.2919388027914953
10,10,3,3,False,1.515230560300785,1.2919638001321156
500,8,4,3,False,1.4364128039586788,1.2923256121516034
1000,8,5,3,False,1.4390671961323132,1.2923330959343349
100,8,2,3,False,1.44567687609682,1.2954308909716987
100,8,3,3,False,1.4454657414047882,1.2969635171535698
10,10,5,3,False,1.5123862284772844,1.2969834572451322
10,9,4,3,False,1.5148194699406825,1.2974260381644158
500,8,5,3,False,1.458508010958246,1.2989555863848514
100,8,5,3,False,1.4717641167058992,1.304190576152985
50,8,2,3,False,1.4856705643945698,1.30544064138139
50,8,5,3,False,1.4911762303020502,1.3087118863619502
50,8,4,3,False,1.4805293559449608,1.3110502297381412
50,8,3,3,False,1.4940470685275236,1.3148340268194778
1000,5,3,10,False,1.4890751109179483,1.3168727321847455
1000,5,2,10,False,1.4958746781879897,1.3174044651033632
500,5,3,10,False,1.4900255739142507,1.3174089956159425
100,5,5,10,False,1.487773578558673,1.318976354290248
10,6,3,10,False,1.5129095164802921,1.3193814037211236
100,5,2,10,False,1.49658041302698,1.3198373993590622
500,5,5,10,False,1.4905942604195033,1.3198568711071073
1000,5,4,10,False,1.49875861009318,1.3206085827684522
500,5,2,10,False,1.4886728782505123,1.322183190197988
1000,5,5,10,False,1.4959951538120568,1.3243055990947838
100,5,3,10,False,1.4952451992666094,1.324353276966186
500,5,4,10,False,1.5042658887712943,1.3252373839680447
50,5,2,10,False,1.5193074165089369,1.325386297582518
50,5,3,10,False,1.5293163219235797,1.3309386805574068
